"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","AVWAGE","TOT","USD","A","2014",43308.8458742606,
"FRA","AVWAGE","TOT","USD","A","2015",43731.6568653337,
"FRA","AVWAGE","TOT","USD","A","2016",44220.2546274175,
"FRA","AVWAGE","TOT","USD","A","2017",44469.0205777572,
"FRA","AVWAGE","TOT","USD","A","2018",44510.1331755264,
